id	filename	md5	size	state
0e88049a-0c50-4b6a-85d1-2d0b61c13542	unc.edu.6b22709e-8b89-4a67-9530-3004467b91f6.2477495.bt.exon_quantification.txt	c38714d29c9ed8ea6e484b14ceffb833	12555043	live
0ea9ef6c-dcd5-44a3-afef-be9c76e11d57	unc.edu.1afe5497-bd6d-45b9-816d-52e7fb20ea4e.2403313.bt.exon_quantification.txt	66e7fcf52fa3519980f18bc245d57b98	12654830	live
0ebe9ae3-c1a5-4b91-967c-ea42fa2eb54f	unc.edu.0fecf92d-9c02-4da8-aadd-c8105b99698b.2316173.bt.exon_quantification.txt	dc628760526006c15e3494ce6e382f60	12081692	live
0eda7f3b-7217-482f-93d0-1667eaa130e1	unc.edu.f7d253d6-fce6-42d3-8926-563e8e7eff7f.1755721.bt.exon_quantification.txt	0330b77adb7d8bae9b3b135b30bdf9f7	12829534	live
0f1265fc-e217-4e09-aa00-8e854da879b1	unc.edu.a15d99f4-2e43-4fb8-93d5-6cc582b12237.1751174.bt.exon_quantification.txt	414ee945825c708d61b184d9774c6078	12666869	live
100eba54-a8cd-4e54-8f16-7bea0096e9ea	unc.edu.5e185249-6ea1-460b-b841-f40e94ea1ccd.1756627.bt.exon_quantification.txt	dbcff4990a5f0ec3a666b2be93a746c5	12784330	live
101ca38c-7163-4464-844f-7f1ff8f565bc	unc.edu.951adcbd-7d7a-466c-bbac-7c7afb8b9df6.1749940.bt.exon_quantification.txt	5db87037d50ac2e46c0c49df94fd5bb8	12717952	live
10479f82-8bf1-407b-b0aa-839bce3043a7	unc.edu.3476ee8f-8cbe-4c6e-a3f7-f53facfe585a.2317727.bt.exon_quantification.txt	99aa94e86eb6bacf1e9687bf37713cda	13131833	live
1058f70b-f36e-4d26-b2ab-99a0b24b6ee8	unc.edu.fe001be4-0c13-4754-8888-3961c98ccfe9.2603918.bt.exon_quantification.txt	14ffeacea6c2332a8b7d0fa23a42734b	12649150	live
10972e52-8a12-45fe-a0ff-1ceaba98b394	unc.edu.f3b04f74-8565-45f4-8a14-c0400c954ac4.2323770.bt.exon_quantification.txt	ced725464e4c57b84361c89ba0855dae	12787431	live
11063974-373f-4b68-89d5-39c25d944a27	unc.edu.cecb86b2-f20c-4fde-b9b6-c87e95f2e390.1754551.bt.exon_quantification.txt	e21e6624e8c78b08191eaa6f5d08e77f	12889055	live
112fac34-a338-4559-a948-b51403fb1640	unc.edu.689a544a-c116-46f9-ae3c-769e793f21c7.2316448.bt.exon_quantification.txt	b2214988cd761bec87c87c8ba5322f2f	12760681	live
115e14d6-dc46-4d27-82d6-61c4f68cd168	unc.edu.b3079945-f405-4810-b7cc-efa81b3b46ad.2483274.bt.exon_quantification.txt	fc4d455354cea8623f0c170e99fdf3c0	12667515	live
117bd49c-d267-441d-83c6-52707e8fd881	unc.edu.6320daab-3fdb-45d2-bbc8-bbba33e4af37.1758692.bt.exon_quantification.txt	ddb8fe79e7b48f9dcb551a063bbb48d7	12749625	live
124b324e-035c-48b0-9b8b-7ab303cadec3	unc.edu.a9444bb5-5136-4a9a-b734-167ce00dd040.2136972.bt.exon_quantification.txt	91447b785d4d36a90c509d5543ff17d0	12784248	live
126e54da-85ca-47c3-b88f-0e3217cecfd5	unc.edu.625d2894-bb92-450a-af72-013d81df221d.2386417.bt.exon_quantification.txt	2f965046114934aab479be103c4f1bc1	12730465	live
12acabcb-74e6-4aac-a22c-740bf90452b2	unc.edu.d28ba0e6-a04b-4341-95c2-f03b6d894a5e.2045001.bt.exon_quantification.txt	a690edf453359728438827848996c3e0	12665136	live
133d0a88-f52f-4db7-9faa-121a17ed0847	unc.edu.14830a14-5495-4425-b6ef-78ccffafe03c.1756633.bt.exon_quantification.txt	db3e9c0ce343a2be0216606fee4b8454	12948889	live
13434869-aa8f-490f-a913-6a09b93d964a	unc.edu.f659e8f2-3d29-4170-bd40-84e54c70fcd4.1756890.bt.exon_quantification.txt	a86654a73f2c4132f40f2241cd8edeeb	12755144	live
1359695c-9b3b-49ae-8382-80fda1a69f05	unc.edu.d04b0992-91fb-4af2-92cd-dbb361a1b83f.2601051.bt.exon_quantification.txt	194048d63a023045b713cabef4104957	12652712	live
139fb80c-e044-4876-8971-d2cfa70d8532	unc.edu.12c2e11c-8ba3-4cce-8c28-c005edc4e4cc.2135476.bt.exon_quantification.txt	4dc3b512a2ac384f19226434fbecbd45	12681131	live
14642af2-e340-4bfd-aea7-a5721a40978f	unc.edu.cd77237d-0598-41cd-b12c-eea4b9c06e6d.1756622.bt.exon_quantification.txt	f15a68ab275c6bc88f21c5be38bc0e6b	12717194	live
147eee78-cc77-478f-8549-57ba97e5a6e6	unc.edu.61843a22-9a35-4370-a301-881d5c967d29.2060629.bt.exon_quantification.txt	b7892779a27db59dd2ef93a594fb228b	12460547	live
148a22f5-1a3a-4346-b3b7-7e070cdecd5f	unc.edu.71b37147-df4c-40ef-b57a-57c2f692de06.1760126.bt.exon_quantification.txt	9941cdf0fd06dcee614d2833034b3464	12830901	live
15b064d3-5761-4d65-a94a-d877a0aade3f	unc.edu.3790dc43-aa3d-4d1b-aa7a-340675c98bd4.1755029.bt.exon_quantification.txt	44f09b167aeefa4b96a4680b33519c3a	12475670	live
16454425-f795-4d69-b222-fb90e4373a26	unc.edu.7ea62df0-1cc5-4bd9-ad9e-3d68aa965731.2619444.bt.exon_quantification.txt	0e7cf4c559d1298234c01d483219bd21	12935211	live
16a17d4c-7d51-49d6-b667-ee125889d10d	unc.edu.5bd95b46-d04b-49a9-964a-dd49570f4960.1758688.bt.exon_quantification.txt	011675480ab6f18ba3a7c35ccad8c594	12559745	live
173c4b2d-fea7-4812-b880-2b35f6fa6eed	unc.edu.a4f08d6b-fdb9-406c-9e55-d03fa1a7ad78.1871198.bt.exon_quantification.txt	3dfe4eeb9114f5f68ea156fa7f64cc1b	11845432	live
